,x,y,theta,v
139,0.152324,0.030782,-0.251327,0.1
140,0.033108,-0.106069,-2.513272,0.1
141,0.025208,-0.112197,-2.45044,0.1
142,0.040643,0.111168,2.576104,0.1
143,0.031504,0.115123,2.890263,0.1
144,0.030748,0.113748,2.701767,0.1
145,0.011308,0.117457,3.204422,0.1
146,0.025208,-0.112197,-2.45044,0.1
147,0.016787,-0.117541,-2.701767,0.1
148,0.152324,0.030782,-0.251327,0.1
149,0.161598,0.027111,-0.502654,0.1
150,0.0,0.0,0.0,0.1
151,0.009993,-0.000314,-0.062832,0.1
152,0.064442,0.080469,2.073449,0.1
153,0.055932,0.098553,1.947786,0.1
154,0.062981,0.129029,1.3823,0.1
155,0.064545,0.138905,1.445131,0.1
156,0.064442,0.080469,2.073449,0.1
157,0.060187,0.089511,1.947786,0.1
158,0.009895,0.00125,0.251327,0.1
159,0.029685,0.00125,-0.251327,0.1
160,0.033528,-0.018815,-0.942477,0.1
161,0.039607,-0.037525,-1.570795,0.1
162,0.152324,0.030782,-0.251327,0.1
163,0.162141,0.02891,-0.125664,0.1
164,0.064545,0.138905,1.445131,0.1
165,0.064859,0.148885,1.633627,0.1
166,0.162141,0.02891,-0.125664,0.1
167,0.172095,0.029222,0.188495,0.1
168,0.025208,-0.112197,-2.45044,0.1
169,0.007301,-0.120623,-2.953095,0.1
170,0.033108,-0.106069,-2.513272,0.1
171,0.02467,-0.111424,-2.638936,0.1
172,0.041546,-0.100714,-2.638936,0.1
173,0.02402,-0.110349,-2.638936,0.1
174,0.172095,0.029222,0.188495,0.1
175,0.181684,0.032008,0.376991,0.1
176,0.039607,-0.037525,-1.570795,0.1
177,0.043333,-0.057055,-1.193804,0.1
178,0.011308,0.117457,3.204422,0.1
179,0.001394,0.116204,3.330085,0.1
180,0.181684,0.032008,0.376991,0.1
181,0.191403,0.034181,0.062832,0.1
182,0.076576,-0.084326,-0.816813,0.1
183,0.083646,-0.091396,-0.753982,0.1
184,0.016787,-0.117541,-2.701767,0.1
185,0.007301,-0.120623,-2.953095,0.1
186,0.0,0.0,0.0,0.1
187,0.019168,-0.004922,-0.502654,0.1
188,0.025208,-0.112197,-2.45044,0.1
189,0.011553,-0.126738,-2.199113,0.1
190,0.064859,0.148885,1.633627,0.1
191,0.064859,0.168872,1.507963,0.1
192,0.181684,0.032008,0.376991,0.1
193,0.197694,0.043641,0.879645,0.1
194,0.191403,0.034181,0.062832,0.1
195,0.201396,0.034181,-0.062832,0.1
196,0.060505,-0.07827,-1.947786,0.1
197,0.050895,-0.09575,-2.199113,0.1
198,0.031504,0.115123,2.890263,0.1
199,0.021687,0.116996,3.015926,0.1
200,0.066564,0.051269,1.3823,0.1
201,0.06935,0.060858,1.193804,0.1
202,0.007301,-0.120623,-2.953095,0.1
203,-0.010606,-0.129049,-2.45044,0.1
204,0.030748,0.113748,2.701767,0.1
205,0.022327,0.119093,2.45044,0.1
206,0.033528,-0.018815,-0.942477,0.1
207,0.044238,-0.035691,-1.068141,0.1
208,0.022327,0.119093,2.45044,0.1
209,0.007757,0.132774,2.324777,0.1
210,0.007301,-0.120623,-2.953095,0.1
211,-0.002653,-0.121249,-3.204422,0.1
212,0.059233,0.109384,1.3823,0.1
213,0.062315,0.118869,1.130972,0.1
214,0.083646,-0.091396,-0.753982,0.1
215,0.08975,-0.099265,-1.068141,0.1
216,0.064859,0.168872,1.507963,0.1
217,0.063922,0.178787,1.822122,0.1
218,0.009895,0.00125,0.251327,0.1
219,0.01929,0.004632,0.439823,0.1
220,-0.010606,-0.129049,-2.45044,0.1
221,-0.028512,-0.137476,-2.953095,0.1
222,0.201396,0.034181,-0.062832,0.1
223,0.219687,0.026939,-0.69115,0.1
224,0.007757,0.132774,2.324777,0.1
225,0.001894,0.140843,2.073449,0.1
226,0.066564,0.051269,1.3823,0.1
227,0.066564,0.071151,1.75929,0.1
228,0.197694,0.043641,0.879645,0.1
229,0.212235,0.057295,0.628318,0.1
230,0.011553,-0.126738,-2.199113,0.1
231,-0.002102,-0.141279,-2.45044,0.1
232,0.009895,-0.00125,-0.251327,0.1
233,0.019035,-0.005205,-0.565486,0.1
234,0.01929,0.004632,0.439823,0.1
235,0.036805,0.014261,0.565486,0.1
236,0.212235,0.057295,0.628318,0.1
237,0.219506,0.064123,0.879645,0.1
238,0.219687,0.026939,-0.69115,0.1
239,0.237594,0.018512,-0.188495,0.1
240,0.219506,0.064123,0.879645,0.1
241,0.226748,0.082414,1.507963,0.1
242,-0.028512,-0.137476,-2.953095,0.1
243,-0.047871,-0.142446,-2.827431,0.1
244,0.0,0.0,0.0,0.1
245,0.019168,-0.004922,-0.502654,0.1
246,0.237594,0.018512,-0.188495,0.1
247,0.246964,0.015139,-0.502654,0.1
248,0.116624,0.048274,-0.251327,0.1
249,0.136414,0.045774,-0.0,0.1
250,0.063922,0.178787,1.822122,0.1
251,0.060177,0.198419,1.696459,0.1
252,0.001894,0.140843,2.073449,0.1
253,-0.012446,0.15431,2.701767,0.1
254,-0.047871,-0.142446,-2.827431,0.1
255,-0.06592,-0.150939,-2.576104,0.1
256,0.001894,0.140843,2.073449,0.1
257,-0.005449,0.15939,1.822122,0.1
258,0.219506,0.064123,0.879645,0.1
259,0.226748,0.082414,1.507963,0.1
260,0.033528,-0.018815,-0.942477,0.1
261,0.040356,-0.026086,-0.69115,0.1
262,0.001394,0.116204,3.330085,0.1
263,-0.015846,0.106727,3.958403,0.1
264,0.01929,0.004632,0.439823,0.1
265,0.028047,0.009447,0.565486,0.1
