,x,y,theta,v
185,6.018792,0.448113,0.198076,3.135099
186,-2.744487,-0.67336,0.231102,-5.02403
187,-3.80714,-0.610063,-0.337006,-5.765614
188,6.018792,0.448113,0.198076,3.135099
189,6.296993,0.533699,0.403993,2.696545
190,6.296993,0.533699,0.403993,2.696545
191,6.57759,0.626695,0.240897,3.222121
192,-3.80714,-0.610063,-0.337006,-5.765614
193,-4.819938,-0.141895,-0.531048,-5.409596
194,6.57759,0.626695,0.240897,3.222121
195,7.342017,0.714113,4.4e-05,4.490435
196,7.342017,0.714113,4.4e-05,4.490435
197,7.766908,0.704736,-0.045025,4.010162
198,-1.248355,-0.561029,0.637514,-0.244601
199,-1.264314,-0.570583,0.418552,-0.12814
200,0.53693,0.176481,0.291335,2.481543
201,0.815864,0.213302,-0.016365,3.167673
202,1.456607,0.619263,0.576692,4.440507
203,2.366086,1.123306,0.442029,5.965434
204,0.815864,0.213302,-0.016365,3.167673
205,1.61266,0.03496,-0.395091,5.04558
206,-1.234353,-0.975401,1.330532,-2.775298
207,-1.27358,-1.295056,1.556299,-3.679361
208,-5.934314,0.032052,-0.701856,-2.072803
209,-6.084545,0.133956,-0.479864,-1.565248
210,3.149918,0.608631,-0.544865,-0.264596
211,3.138141,0.615748,-0.541212,-0.010613
212,6.57759,0.626695,0.240897,3.222121
213,6.930401,0.686344,0.098821,3.940244
214,7.342017,0.714113,4.4e-05,4.490435
215,8.285006,0.455114,-0.520131,5.399478
216,2.366086,1.123306,0.442029,5.965434
217,2.87024,1.446501,0.697546,6.044284
218,2.87024,1.446501,0.697546,6.044284
219,3.318262,1.825019,0.705546,5.686054
220,-3.80714,-0.610063,-0.337006,-5.765614
221,-4.371821,-0.368042,-0.47006,-6.530643
222,8.285006,0.455114,-0.520131,5.399478
223,8.967058,-0.181585,-1.005651,4.022626
224,2.86924,0.71279,0.547038,1.698215
225,3.026334,0.806677,0.53073,1.962063
226,0.667113,0.64001,0.852228,3.114055
227,0.922082,1.190838,1.424661,3.039375
228,-6.084545,0.133956,-0.479864,-1.565248
229,-6.266963,0.204615,-0.273116,-2.35413
230,4.955468,0.436483,-0.366769,4.685598
231,5.364672,0.213031,-0.633046,4.666788
232,2.898944,0.551284,0.357057,-2.044603
233,2.35201,0.464949,-0.011265,-3.523142
234,8.285006,0.455114,-0.520131,5.399478
235,9.419893,0.18836,0.042241,6.413349
236,-2.227272,-0.550056,0.236854,-5.610195
237,-2.743734,-0.733317,0.446634,-5.37018
238,6.296993,0.533699,0.403993,2.696545
239,6.68314,0.800819,0.826131,2.033614
240,-6.266963,0.204615,-0.273116,-2.35413
241,-6.449542,0.281455,-0.540075,-1.619326
242,1.61266,0.03496,-0.395091,5.04558
243,2.089271,-0.217421,-0.574956,5.75514
244,6.68314,0.800819,0.826131,2.033614
245,6.838824,0.973521,0.847334,2.61679
246,-4.703017,-0.331979,0.089177,-3.385429
247,-5.414807,-0.574702,0.551457,-4.202058
248,-2.227272,-0.550056,0.236854,-5.610195
249,-3.525192,-0.569217,-0.187197,-7.46753
250,-4.819938,-0.141895,-0.531048,-5.409596
251,-5.496437,0.607028,-1.152721,-4.846862
252,0.667113,0.64001,0.852228,3.114055
253,0.87763,0.83078,0.612754,2.581438
254,-3.525192,-0.569217,-0.187197,-7.46753
255,-4.266658,-0.515371,0.042385,-7.433546
256,2.089271,-0.217421,-0.574956,5.75514
257,2.543181,-0.529935,-0.631805,5.268124
258,2.366086,1.123306,0.442029,5.965434
259,3.587714,1.398129,0.008449,6.654679
260,2.543181,-0.529935,-0.631805,5.268124
261,2.981639,-0.820152,-0.537544,5.251885
262,2.981639,-0.820152,-0.537544,5.251885
263,3.411727,-1.092272,-0.591273,4.928222
264,6.838824,0.973521,0.847334,2.61679
265,7.030275,1.193612,0.861925,3.217419
266,2.35201,0.464949,-0.011265,-3.523142
267,2.005973,0.462672,0.024641,-3.39812
268,0.922082,1.190838,1.424661,3.039375
269,0.996277,1.724153,1.441174,2.345206
270,2.35201,0.464949,-0.011265,-3.523142
271,1.55704,0.691637,-0.517741,-4.831726
272,3.054914,0.597758,0.20958,-1.213214
273,2.961867,0.569834,0.388264,-0.73226
274,7.030275,1.193612,0.861925,3.217419
275,7.364176,1.862713,1.33082,4.328894
276,-6.449542,0.281455,-0.540075,-1.619326
277,-6.590751,0.36214,-0.498215,-1.633599
278,7.766908,0.704736,-0.045025,4.010162
279,8.757784,0.790306,0.201241,5.960336
280,-5.496437,0.607028,-1.152721,-4.846862
281,-5.740589,1.041199,-0.966101,-5.129822
282,7.364176,1.862713,1.33082,4.328894
283,7.519173,2.674727,1.435182,3.941603
284,5.716537,0.378117,0.257269,3.07088
285,6.022438,0.417899,0.001995,3.115444
286,0.996277,1.724153,1.441174,2.345206
